seed,ablation,mean_auc_all,mean_pauc_all_max_fpr_0_1,mean_auc_source,mean_auc_target
42,a00_near,0.5045571428571428,0.523984962406015,0.4812571428571429,0.5175428571428571
42,a02_care_multiview,0.5052571428571428,0.5285714285714285,0.4940571428571428,0.5039428571428572
2026,a00_near,0.5229857142857143,0.5169924812030074,0.5143428571428572,0.5197714285714286
2026,a02_care_multiview,0.5088142857142858,0.5292481203007519,0.4962857142857143,0.5172000000000001
