system,scope,machine_type,section,metric,value
B00,emulated,gearboxEmu,section_00,auc_target,0.48240000000000005
B00,emulated,gearboxEmu,section_00,pauc_all_max_fpr_0_1,0.5263157894736842
B00,emulated,sliderEmu,section_00,auc_source,0.6718000000000001
B00,emulated,sliderEmu,section_00,auc_target,0.4506
B00,emulated,sliderEmu,section_00,pauc_all_max_fpr_0_1,0.5047368421052632
B00,emulated,valveEmu,section_00,auc_source,0.6956
B00,emulated,valveEmu,section_00,auc_target,0.7074
B00,emulated,valveEmu,section_00,pauc_all_max_fpr_0_1,0.5615789473684211
B01,emulated,ToyCarEmu,section_00,auc_source,0.7373999999999999
B01,emulated,ToyCarEmu,section_00,auc_target,0.5368
B01,emulated,ToyCarEmu,section_00,pauc_all_max_fpr_0_1,0.5426315789473685
B01,emulated,bearingEmu,section_00,auc_source,0.7014
B01,emulated,bearingEmu,section_00,auc_target,0.647
B01,emulated,bearingEmu,section_00,pauc_all_max_fpr_0_1,0.6031578947368421
B01,emulated,gearboxEmu,section_00,auc_source,0.748
B01,emulated,gearboxEmu,section_00,auc_target,0.4756
B01,emulated,gearboxEmu,section_00,pauc_all_max_fpr_0_1,0.5405263157894737
B01,emulated,sliderEmu,section_00,auc_source,0.7168000000000001
B01,emulated,sliderEmu,section_00,auc_target,0.4522
B01,emulated,sliderEmu,section_00,pauc_all_max_fpr_0_1,0.5031578947368421
B01,emulated,valveEmu,section_00,auc_source,0.5786
B01,emulated,valveEmu,section_00,auc_target,0.5204
B01,emulated,valveEmu,section_00,pauc_all_max_fpr_0_1,0.5026315789473684
B02,emulated,ToyCarEmu,section_00,auc_source,0.7658
B02,emulated,ToyCarEmu,section_00,auc_target,0.6117999999999999
B02,emulated,ToyCarEmu,section_00,pauc_all_max_fpr_0_1,0.5684210526315789
B02,emulated,bearingEmu,section_00,auc_source,0.6146
B02,emulated,bearingEmu,section_00,auc_target,0.5828
B02,emulated,bearingEmu,section_00,pauc_all_max_fpr_0_1,0.596842105263158
B02,emulated,gearboxEmu,section_00,auc_source,0.6774
B02,emulated,gearboxEmu,section_00,auc_target,0.5028
B02,emulated,gearboxEmu,section_00,pauc_all_max_fpr_0_1,0.5378947368421052
B02,emulated,sliderEmu,section_00,auc_source,0.6676
B02,emulated,sliderEmu,section_00,auc_target,0.459
B02,emulated,sliderEmu,section_00,pauc_all_max_fpr_0_1,0.5052631578947369
B02,emulated,valveEmu,section_00,auc_source,0.6768000000000001
B02,emulated,valveEmu,section_00,auc_target,0.6856000000000001
B02,emulated,valveEmu,section_00,pauc_all_max_fpr_0_1,0.5542105263157895
