group,outcome,clips,spearman_rho,two_sided_p_value
all,score_delta_b01_minus_b00,1400,-0.5524156506493846,1.1542228519349867e-112
all,absolute_score_delta,1400,-0.5652653700333522,5.151521390005199e-119
ToyCar/section_00,score_delta_b01_minus_b00,200,-0.11894097352433812,0.09344552203749146
ToyCar/section_00,absolute_score_delta,200,-0.23487887197179932,0.000814478030132896
ToyCarEmu/section_00,score_delta_b01_minus_b00,200,-0.2639240981024526,0.00015921942746579333
ToyCarEmu/section_00,absolute_score_delta,200,-0.05456986424660617,0.44280257732086764
bearingEmu/section_00,score_delta_b01_minus_b00,200,-0.541513537838446,1.2373017858626636e-16
bearingEmu/section_00,absolute_score_delta,200,-0.488188704717618,2.2532304320434967e-13
fan/section_00,score_delta_b01_minus_b00,200,-0.05144828620715519,0.4693682030404705
fan/section_00,absolute_score_delta,200,-0.05144828620715519,0.4693682030404705
gearboxEmu/section_00,score_delta_b01_minus_b00,200,-0.48976224405610147,1.8386928517665776e-13
gearboxEmu/section_00,absolute_score_delta,200,-0.29614340358508967,2.064962697558824e-05
sliderEmu/section_00,score_delta_b01_minus_b00,200,0.03585089627240681,0.614266752081872
sliderEmu/section_00,absolute_score_delta,200,-0.04432460811520288,0.5331386926492678
valveEmu/section_00,score_delta_b01_minus_b00,200,0.559735993399835,6.919939469159702e-18
valveEmu/section_00,absolute_score_delta,200,0.2899917497937448,3.1100574354837064e-05
