tap,in_support_clips,in_support_retention_median,in_support_retention_q05,in_support_direction_median,in_support_transport_error_median,heldout_clips,heldout_retention_median,heldout_retention_q05,eligible_in_support
0,7000,0.8465386404815177,0.4093625829094128,0.6429818323283221,0.796890033953509,643,0.9302852629306991,0.6209686442202004,False
4,7000,0.7930166268869006,0.2765919597880857,0.7093001090997118,0.7172676371459852,643,0.9355737312599972,0.6085902359343263,False
8,7000,0.7839335449307829,0.17562607079409295,0.7183795594737279,0.7072832310131933,643,0.9447596344055549,0.5967977652830165,False
12,7000,0.7731084317043231,0.13401815128420091,0.7259569989404011,0.6992422102345817,643,0.9515514452501791,0.5744937196155796,False
