split,cases,leakage_spearman,leakage_spearman_ci95_low,leakage_spearman_ci95_high,uncertainty_spearman,uncertainty_spearman_ci95_low,uncertainty_spearman_ci95_high,in_support_cases,in_support_fault_retention_median,in_support_fault_retention_q05,eligible_cases,eligible_noise_attenuation_median_db,active_cases,active_case_fraction,active_noise_attenuation_median_db,matched_medium_high_cases,retention_improvement_median,retention_improvement_mean_ci95_low,retention_improvement_mean_ci95_high,out_of_support_cases,out_of_support_fault_retention_median,passed
calibration,256,0.5470817120622568,0.438454425297481,0.6430676192429199,0.39953579194323635,0.28126379093698856,0.5047391681922344,128,1.0001191884719538,0.9943005812375292,239,-0.03637900676480566,239,1.0,-0.03637900676480566,5,0.04412728358909501,0.020160630184333804,0.071962638282727,128,1.000019775855639,False
holdout,256,0.5325617990386815,0.4250488413461966,0.6304978758905054,0.4059603170061798,0.296747708585316,0.5073921385915667,128,1.0001197059997353,0.9883974576062247,240,-0.03968772485057449,240,1.0,-0.03968772485057449,4,0.052579697099390754,0.028134033442963835,0.09222613892472761,128,1.0000358809389098,False
