epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale,derived_from_candidate,reference_safety_mode,maximum_reference_contraction
41,8.268012296993067e-05,0.0349966707697936,0.0349966707697936,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
42,7.500000000000002e-05,0.0349759684801101,0.0349759684801101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
43,6.75736532893791e-05,0.0349582436595644,0.0349582436595644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
44,6.04262112445821e-05,0.0349359086155891,0.0349359086155891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
45,5.358185854701909e-05,0.0349208069273403,0.0349208069273403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
46,4.706375431968997e-05,0.0349100404339177,0.0349100404339177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
47,4.089395376404269e-05,0.0348912997501237,0.0348912997501237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
48,3.509333353215331e-05,0.034881292947701,0.034881292947701,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
49,2.9681521086743426e-05,0.0348702179959842,0.0348702179959842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
50,2.467682828805956e-05,0.0348621594139507,0.0348621594139507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
51,2.009618943233419e-05,0.0348554214750017,0.0348554214750017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
52,1.5955103951488173e-05,0.0348473411585603,0.0348473411585603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
53,1.2267583967958916e-05,0.034838905274868,0.034838905274868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
54,9.046106882113751e-06,0.0348367291390895,0.0348367291390895,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
55,6.301573152676664e-06,0.0348297276028565,0.0348297276028565,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
56,4.043269413026429e-06,0.0348275904996054,0.0348275904996054,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
57,2.2788370481687965e-06,0.0348256958765643,0.0348256958765643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
58,1.0142463387085464e-06,0.0348244829603603,0.0348244829603603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
59,2.537762593097737e-07,0.0348258654219763,0.0348258654219763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
60,0.0,0.0348224698049681,0.0348224698049681,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
