split,cases,safe_cases,safe_prevalence,accepted,coverage,false_safe_count,false_safe_rate,false_safe_upper_ci,risk_spearman,tail_loss_reduction,unconditional_loss_q95,policy_loss_q95,passed
calibration,2048,163,0.07958984375,1767,0.86279296875,1640,0.9281267685342388,0.9392632796974412,0.005933639840293943,0.012747087021524606,0.8190432013447839,0.8086027863828539,False
holdout,2048,172,0.083984375,1776,0.8671875,1649,0.928490990990991,0.9395727389612808,0.039958643563944324,0.017798982585734313,0.8189304947481562,0.8043543651332069,False
