reference,candidate,metric,bootstrap_mean_delta,ci95_low,ci95_high,iterations,seed,stratification
B00,B01,auc,-0.0056566514285714305,-0.02491464285714292,0.012972499999999937,5000,2026,machine_type/section/condition
B00,B01,pauc_max_fpr_0_1,-0.01740075187969925,-0.03270676691729313,-0.0028571428571428914,5000,2026,machine_type/section/condition
B00,B02,auc,-0.0019184771428571406,-0.009686071428571443,0.005957142857142775,5000,2026,machine_type/section/condition
B00,B02,pauc_max_fpr_0_1,-0.005399879699248118,-0.013984962406014878,0.0032349624060151187,5000,2026,machine_type/section/condition
