epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,retention
1,5.9999999999999995e-05,0.6264163274765016,0.057368842239890784,0.35198277068138123,0.43412942641122004,0.7093966499737331
2,0.00011999999999999999,0.5534136274882726,0.061270619579723906,0.35830804521696913,0.267669927580016,0.7827215004648481
3,0.00017999999999999998,0.5013749603543963,0.06285142239502499,0.3494667113167899,0.1781136578662055,0.8318361756461008
4,0.00023999999999999998,0.48048741037505016,0.06256909178836005,0.338780691589628,0.15827525663375855,0.8446765065874373
5,0.0003,0.4702254633222308,0.06235076085158757,0.33302207132748196,0.14970526337623596,0.8506588461739677
6,0.0003,0.4588427615165711,0.061947084554604126,0.3264558905192784,0.14087957208497184,0.8571337075914656
7,0.00029974622374069024,0.4525785466943469,0.061304729478699825,0.3234223320143564,0.13570296063593457,0.8612417122977121
8,0.00029898575366129145,0.44838739868572786,0.06050416275433132,0.3201973135130746,0.13537184083461762,0.8608153972625733
9,0.0002977211629518312,0.4417614763123649,0.06017155310937337,0.3174070304461888,0.12836578476428986,0.8664620450564794
10,0.00029595673058697357,0.4402051584039416,0.05972906399624689,0.3159032180990492,0.129145755980696,0.8654286510603769
11,0.00029369842684732334,0.43343682847704207,0.059531173212187635,0.31360138085910255,0.12060854521819524,0.872811168738774
12,0.0002909538931178862,0.43158181749071395,0.05959365569693702,0.31244987535476687,0.11907657341446196,0.8734078634125847
13,0.0002877324160320411,0.42896052094868253,0.05908966183236668,0.31049583251135693,0.11875005588361195,0.873994880948748
14,0.0002840448960485118,0.4282254460198539,0.059158685931137635,0.3104526242528643,0.11722827121189663,0.8750134256226676
15,0.0002799038105676658,0.42718735027313237,0.059064545031104775,0.3096219941888537,0.11700162410736085,0.8746890327589854
16,0.00027532317171194046,0.42378316433089125,0.058813492566347124,0.30830734218869893,0.1133246598328863,0.8780462647165571
17,0.00027031847891325657,0.42031954104559766,0.05833958271997316,0.3068706498486655,0.11021861438240324,0.8807363521712167
18,0.00026490666646784665,0.418484352179936,0.0583746783903667,0.3061745392254421,0.10787027346236366,0.8825030965805054
19,0.0002591060462359573,0.4185377910477775,0.05816757759877614,0.30584586596488955,0.10904869453396117,0.8815696612766811
20,0.00025293624568031,0.4170690980638777,0.058098478274686,0.305731251341956,0.10647874195235117,0.8833212139947074
21,0.0002464181414529809,0.4159345394883837,0.058012894553797587,0.3050268887451717,0.10578951311962946,0.8835550711495537
22,0.00023957378875541792,0.41373610224042623,0.05781850979583605,0.3041348594597408,0.10356545805931092,0.8857663346018111
23,0.0002324263467106209,0.4125435157503401,0.05776041042378971,0.30404519166265215,0.10147582904781614,0.8873793882642474
24,0.000225,0.4095907304627555,0.05746378473298891,0.3026744351727622,0.09890502226352692,0.8896618717738561
25,0.00021731987703006933,0.40849700444085263,0.05750369019167764,0.3023026447636741,0.09738133612700872,0.8911038114683969
26,0.0002094119649058735,0.4071778188432966,0.05732136442831585,0.30192746809550697,0.09585797360965184,0.8919583613531931
27,0.00020130302149885031,0.40675421190261846,0.05728792509862355,0.3017056239332472,0.0955213275722095,0.8920822933060782
28,0.00019302048490666353,0.4056005810669491,0.05750753937874522,0.3012841156550816,0.09361785339457648,0.8939178353037154
29,0.00018459238061136602,0.4048986058575767,0.05704826727509499,0.30085098975045343,0.09399869585037232,0.893583844116756
30,0.00017604722665003956,0.40413988542556767,0.057249568871089396,0.3006968342917306,0.09238696279696057,0.8946947381837028
31,0.00016741393711878453,0.4031029422623771,0.057098395300763,0.30048995300701686,0.09102919205597469,0.8960989043372019
32,0.00015872172433657134,0.4019865268639156,0.05707581041540419,0.2998853450502668,0.09005074553830283,0.8967655536787851
33,0.00015,0.40180266087395805,0.05698516789930208,0.2996917649337224,0.0902514569759369,0.8965008525167193
34,0.00014127827566342863,0.4008914203984397,0.0568996220273631,0.29956896693365914,0.0888456678560802,0.8977132758413043
35,0.00013258606288121542,0.39922330965314595,0.05680321699380875,0.29888734946932116,0.08706549010957991,0.8995424831935338
36,0.00012395277334996044,0.3984483443328313,0.056793634516852244,0.29860001114436563,0.08610940048524313,0.9004644095557077
37,0.00011540761938863397,0.39722471543720794,0.05671716644508498,0.2984750438758305,0.0840650071161134,0.901906325680869
38,0.0001069795150933365,0.3968298640932356,0.05667695587447712,0.298351033108575,0.08360375274930681,0.9024541550363814
