epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale,derived_from_candidate,reference_safety_mode,maximum_reference_contraction
49,2.9681521086743426e-05,0.0348556050275053,0.0348556050275053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
50,2.467682828805956e-05,0.0348463784541402,0.0348463784541402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
51,2.009618943233419e-05,0.0348389032312801,0.0348389032312801,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
52,1.5955103951488173e-05,0.0348291441585336,0.0348291441585336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
53,1.2267583967958916e-05,0.0348214828414576,0.0348214828414576,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
54,9.046106882113751e-06,0.0348185398706368,0.0348185398706368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
55,6.301573152676664e-06,0.0348128044307231,0.0348128044307231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
56,4.043269413026429e-06,0.0348110967619078,0.0348110967619078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
57,2.2788370481687965e-06,0.0348076059690543,0.0348076059690543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
58,1.0142463387085464e-06,0.0348080486101763,0.0348080486101763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
59,2.537762593097737e-07,0.0348077127507754,0.0348077127507754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
60,0.0,0.0348066441289016,0.0348066441289016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,c1_mse,rdp_salient_contraction,0.1
