system,description,mean_auc,mean_pauc,auc_delta_mean,auc_ci95_low,auc_ci95_high,pauc_delta_mean,pauc_ci95_low,pauc_ci95_high,decision
B00,unchanged near-only official-compatible reference,0.6081285714285715,0.5539097744360901,0.0,0.0,0.0,0.0,0.0,0.0,reference
B01,CARE residual replacement,0.6025142857142857,0.5345864661654135,-0.0056566514285714305,-0.02491464285714292,0.012972499999999937,-0.01740075187969925,-0.03270676691729313,-0.0028571428571428914,rejected_harmful_pauc
B02,near-primary reliability-gated residual,0.6062714285714286,0.5478947368421052,-0.0019184771428571406,-0.009686071428571443,0.005957142857142775,-0.005399879699248118,-0.013984962406014878,0.0032349624060151187,rejected_no_improvement
