epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,retention
1,5.9999999999999995e-05,0.05311651965975762,0.05311651965975762,0.0,0.0,1.0
2,0.00011999999999999999,0.0462425979077816,0.0462425979077816,0.0,0.0,1.0
3,0.00017999999999999998,0.04209293706927981,0.04209293706927981,0.0,0.0,1.0
4,0.00023999999999999998,0.04027981815167836,0.04027981815167836,0.0,0.0,1.0
5,0.0003,0.03927048573749406,0.03927048573749406,0.0,0.0,1.0
6,0.0003,0.038664578182356704,0.038664578182356704,0.0,0.0,1.0
7,0.00029974622374069024,0.03818644122566496,0.03818644122566496,0.0,0.0,1.0
8,0.00029898575366129145,0.03783275594030108,0.03783275594030108,0.0,0.0,1.0
9,0.0002977211629518312,0.037588144310883115,0.037588144310883115,0.0,0.0,1.0
10,0.00029595673058697357,0.03738500718559538,0.03738500718559538,0.0,0.0,1.0
11,0.00029369842684732334,0.037188202487570904,0.037188202487570904,0.0,0.0,1.0
12,0.0002909538931178862,0.037044804432562424,0.037044804432562424,0.0,0.0,1.0
13,0.0002877324160320411,0.03692549763832774,0.03692549763832774,0.0,0.0,1.0
14,0.0002840448960485118,0.03677796451960291,0.03677796451960291,0.0,0.0,1.0
15,0.0002799038105676658,0.03668454043780055,0.03668454043780055,0.0,0.0,1.0
16,0.00027532317171194046,0.03655734914115497,0.03655734914115497,0.0,0.0,1.0
17,0.00027031847891325657,0.03646157198292869,0.03646157198292869,0.0,0.0,1.0
18,0.00026490666646784665,0.03638440108725003,0.03638440108725003,0.0,0.0,1.0
19,0.0002591060462359573,0.03629776958482606,0.03629776958482606,0.0,0.0,1.0
20,0.00025293624568031,0.03620999931011881,0.03620999931011881,0.0,0.0,1.0
21,0.0002464181414529809,0.036133164065224786,0.036133164065224786,0.0,0.0,1.0
22,0.00023957378875541792,0.036065981613738196,0.036065981613738196,0.0,0.0,1.0
23,0.0002324263467106209,0.03597264248132706,0.03597264248132706,0.0,0.0,1.0
24,0.000225,0.03591977294428008,0.03591977294428008,0.0,0.0,1.0
25,0.00021731987703006933,0.035838490554264614,0.035838490554264614,0.0,0.0,1.0
26,0.0002094119649058735,0.03576955161350114,0.03576955161350114,0.0,0.0,1.0
27,0.00020130302149885031,0.03571193034734045,0.03571193034734045,0.0,0.0,1.0
28,0.00019302048490666353,0.03565171932322639,0.03565171932322639,0.0,0.0,1.0
29,0.00018459238061136602,0.03557719035659518,0.03557719035659518,0.0,0.0,1.0
30,0.00017604722665003956,0.0355151661847319,0.0355151661847319,0.0,0.0,1.0
31,0.00016741393711878453,0.03545376609904426,0.03545376609904426,0.0,0.0,1.0
32,0.00015872172433657134,0.035408976214272636,0.035408976214272636,0.0,0.0,1.0
33,0.00015,0.035351990623133524,0.035351990623133524,0.0,0.0,1.0
34,0.00014127827566342863,0.03530226936936379,0.03530226936936379,0.0,0.0,1.0
35,0.00013258606288121542,0.035267587861844474,0.035267587861844474,0.0,0.0,1.0
36,0.00012395277334996044,0.03522761519466128,0.03522761519466128,0.0,0.0,1.0
37,0.00011540761938863397,0.03518729248217174,0.03518729248217174,0.0,0.0,1.0
38,0.0001069795150933365,0.035154348794903076,0.035154348794903076,0.0,0.0,1.0
39,9.869697850114969e-05,0.03513008072546551,0.03513008072546551,0.0,0.0,1.0
40,9.058803509412646e-05,0.035095687793833874,0.035095687793833874,0.0,0.0,1.0
41,8.268012296993067e-05,0.035065949550696786,0.035065949550696786,0.0,0.0,1.0
42,7.500000000000002e-05,0.03504367382611547,0.03504367382611547,0.0,0.0,1.0
43,6.75736532893791e-05,0.035020432178463255,0.035020432178463255,0.0,0.0,1.0
44,6.04262112445821e-05,0.034999224730900357,0.034999224730900357,0.0,0.0,1.0
45,5.358185854701909e-05,0.03498129477671215,0.03498129477671215,0.0,0.0,1.0
46,4.706375431968997e-05,0.0349640540608338,0.0349640540608338,0.0,0.0,1.0
47,4.089395376404269e-05,0.03495053582957813,0.03495053582957813,0.0,0.0,1.0
48,3.509333353215331e-05,0.03493944948911667,0.03493944948911667,0.0,0.0,1.0
49,2.9681521086743422e-05,0.03492507284879685,0.03492507284879685,0.0,0.0,1.0
50,2.4676828288059558e-05,0.03491488203832081,0.03491488203832081,0.0,0.0,1.0
51,2.009618943233419e-05,0.034906838859830584,0.034906838859830584,0.0,0.0,1.0
52,1.5955103951488173e-05,0.034897936914648334,0.034897936914648334,0.0,0.0,1.0
53,1.2267583967958916e-05,0.034892053084714075,0.034892053084714075,0.0,0.0,1.0
54,9.046106882113751e-06,0.034886692455836706,0.034886692455836706,0.0,0.0,1.0
55,6.301573152676664e-06,0.03488282747779574,0.03488282747779574,0.0,0.0,1.0
56,4.043269413026429e-06,0.03488141526494708,0.03488141526494708,0.0,0.0,1.0
57,2.2788370481687965e-06,0.034877663335629874,0.034877663335629874,0.0,0.0,1.0
58,1.0142463387085464e-06,0.03487774484923908,0.03487774484923908,0.0,0.0,1.0
59,2.5377625930977363e-07,0.03487756609065192,0.03487756609065192,0.0,0.0,1.0
60,0.0,0.03487525061624391,0.03487525061624391,0.0,0.0,1.0
